Название вакансии,URL,Название компании,Описание
Заведующий складом,https://belgorod.hh.ru/vacancy/34132903?query=1c, ГК СТРОЙБАТ,"Руководство работой склада по приему, хранению и отпуску товарно-материальных ценностей. Обеспечение сохранности складируемых товарно-материальных ценностей, соблюдение режимов хранения... Опыт работы в данной должности не менее одного года. Знание строительных материалов. Знание программы 1С."
Программист 1C (г. Воронеж),https://belgorod.hh.ru/vacancy/34307014?query=1c," ЭФКО, Управляющая компания","Разработка программного кода на платформе 1С: Предприятие 8, его тестирование и отладка. Создание и настройка механизмов миграции между различными... ...1С: Предприятие 8 (1С: Управление торговлей; 1С:Бухгалтерия; 1С: Управление персоналом: 1С: Зарплата; 1С..."
Программист 1C (г. Воронеж),https://belgorod.hh.ru/vacancy/34307017?query=1c," ЭФКО, Управляющая компания","Разработка программного кода на платформе 1С: Предприятие 8, его тестирование и отладка. Создание и настройка механизмов миграции между различными... ...1С: Предприятие 8 (1С: Управление торговлей; 1С:Бухгалтерия; 1С: Управление персоналом: 1С: Зарплата; 1С..."
Менеджер по продажам,https://belgorod.hh.ru/vacancy/34370960?query=1c, ТЕМИР,"Активный поиск клиентов. Расширение территориального присутствия. Выявление потребностей клиентов. Проведение переговоров, встреча с клиентами. Планирование и ведение отчетов.  Опыт работы или образование-сварщик, главный сварщик, образование связанное с автоматизацией по сварке приветствуется. Знание 1С! Уверенный пользователь ПК. "
Менеджер по продажам мебельной ткани,https://belgorod.hh.ru/vacancy/34365337?query=1c,ООО Крафт,Работа с готовой клиентской базой. Ведение переговоров с клиентами. Контроль и развитие точек продаж мягкой мебели. Оформление продажи. Формирование заявок.  Опыт работы с ПК на уровне пользователя‚ знание 1С. Желание развиваться в сфере продаж. Грамотная речь. Опыт работы в...
Менеджер по работе с клиентами,https://belgorod.hh.ru/vacancy/34632053?query=1c,АО РУС-Индустрия,Ведет клиентскую базу. - Контролирует отгрузки продукции клиентам. - Контролирует оплату покупателями товаров по заключенным договорам. - 1С:ERP. - CRM. Высшее образование. - Опыт работы в сфере продаж услуг в секторе В2В. - Опыт совершения холодных звонков. - Опыт проведения переговоров. - 
Менеджер по продажам,https://belgorod.hh.ru/vacancy/34018636?query=1c, Мир цемента,"работа с кассой и терминалом (знание ККМ и кассовой отчетности). - обслуживание покупателей, выписка УПД и ТТН в 1С. - знание строительных материалов -обязательно! - готовность работать в режиме многозадачности. - знание 1С, ККМ."
Дизайнер – продавец (ТЦ «Сити молл»),https://belgorod.hh.ru/vacancy/33727660?query=1c,ООО Торговый дом Лазурит,"Работа с программами. 4. Оформление договоров. 5. Установление долгосрочных отношений с покупателями. 9. Обучение в программах 1С, дизайнерской программе... 1. Клиентоориентированность и соблюдение стандартов сервиса высокого уровня. 2. Активность и открытость. 3. Коммуникабельность и доброжелательность. 4. Готовность к обучению..."
Диспетчер инженерной службы,https://belgorod.hh.ru/vacancy/34545465?query=1c,"ООО Агро-Белогорье, Группа Компаний","Производить приём заявок на ремонтные работы, аварийные ситуации, фиксировать их, направлять дежурный персонал для устранения неполадок и контролировать их выполнение.  Высшее/среднее техническое образование. Уверенный пользователь компьютера (знание Word, Excel обязательны). Опыт работы диспетчером от 1 года. Исполнительность, быстрая реакция..."
Дизайнер – продавец,https://belgorod.hh.ru/vacancy/33727817?query=1c,ООО Торговый дом Лазурит,"Работа с программами. 4. Оформление договоров. 5. Установление долгосрочных отношений с покупателями. 9. Обучение в программах 1С, дизайнерской программе... 1. Клиентоориентированность и соблюдение стандартов сервиса высокого уровня. 2. Активность и открытость. 3. Коммуникабельность и доброжелательность. 4. Готовность к обучению..."
Дизайнер – продавец ТЦ «Аэробус»,https://belgorod.hh.ru/vacancy/33727593?query=1c,ООО Торговый дом Лазурит,"Работа с программами. 4. Оформление договоров. 5. Установление долгосрочных отношений с покупателями. 9. Обучение в программах 1С, дизайнерской программе... 1. Клиентоориентированность и соблюдение стандартов сервиса высокого уровня. 2. Активность и открытость. 3. Коммуникабельность и доброжелательность. 4. Готовность к обучению..."
Дизайнер-продавец (ТЦ «Спутник»),https://belgorod.hh.ru/vacancy/33727707?query=1c,ООО Торговый дом Лазурит,"Работа с программами. 4. Оформление договоров. 5. Установление долгосрочных отношений с покупателями. 9. Обучение в программах 1С, дизайнерской программе... 1. Клиентоориентированность и соблюдение стандартов сервиса высокого уровня. 2. Активность и открытость. 3. Коммуникабельность и доброжелательность. 4. Готовность к обучению..."
