Название вакансии,URL,Название компании,Описание 
Старший менеджер,https://belgorod.hh.ru/vacancy/34339418?query=1c,ООО Аспера,Проведение акций и контроль за участием в них Торговых представителей. Выгрузка заказов в 1с. Составление маршрутных листов.  Активная жизненная позиция. Умение воздействовать на команду и анализировать ситуацию в рабочей группе. Находить подход к каждому работнику. 
Кладовщик,https://belgorod.hh.ru/vacancy/34338585?query=1c,ООО 1000 мелочей,"Осуществление приемки товара от поставщиков. Подготовка товара в торговый зал согласно заявок. Подготовка товаров к проведению контрольного пересчета. Знание программы 1С «торговля склад», EXCEL, Уверенный пользователь ПК. ВЫСОКИЙ УРОВЕНЬ ОТВЕТСТВЕННОСТИ И ВНИМАТЕЛЬНОСТИ."
Программист 1 С ЗУП (г. Белгород),https://belgorod.hh.ru/vacancy/33925332?query=1c," Мираторг, Агропромышленный холдинг","...с другими системами (1С ЗУП, 1С ТОИР 1.3, 1С ТОИР 2.0, 1С УПП, другие).  Опыт разработки механизмов интеграции между системами на платформе 1С и системами на других платформах. Способность к быстрому обучению, внимательность..."
Торговый представитель,https://belgorod.hh.ru/vacancy/34323993?query=1c, Центр Крепеж СВ,"Посещение ТТ, согласно маршруту, на закрепленной территории: Белгород, Строитель, Прохоровка, Борисовка... - Работа с существующей клиентской базой. Сбор и оформление заявок.  Опыт работы в торговой сфере приветствуется. - Уверенный пользователь ПК (Word, Excel, 1C - возможно обучение). - Нацеленность на результат, стрессоустойчивость, активная..."
Сервисный инженер 1С,https://belgorod.hh.ru/vacancy/34319274?query=1c,ООО ЭВМ-Информ,"установка и настройка программных продуктов 1С. - работа с дополнительным оборудованием (сканеры, кассы). - подключение и настройка сервисов 1С. ...излагать свои мысли, грамотно поставленная речь. - желание расти и развиваться внутри компании. - инициативность, обучаемость, трудолюбие, целеустремленность. - знание ПП 1С."
Клиент-менеджер отдела обеспечения,https://belgorod.hh.ru/vacancy/34300816?query=1c,"ООО Зеленая долина, ГК","Исполнение заявок на обеспечение материальными ресурсами. Ведение документооборота. Подготовка сверок по контрагентам. Контроль взаиморасчетов с контрагентами. Отслеживание и контроль погашения... Умение общаться с людьми лично и по телефону. Умение работать в команде. Уверенный пользователь ПК (1С, Excel), знание основ..."
Менеджер по продажам (Региональный представитель),https://belgorod.hh.ru/vacancy/34338302?query=1c, Группа компаний Агротек,"Продвижение продуктов Компании клиентам (семян сельскохозяйственных культур, средств защиты растений, микроудобрений). Поклиентное планирование и бюджетирование. Выполнение плана продаж на закрепленной... Опыт успешных продаж от 2 лет. Опыт работы агрономом будет являться преимуществом. Уверенный пользователь ПК, знание 1С. "
Бухгалтер,https://belgorod.hh.ru/vacancy/34337859?query=1c, Пчелка,"Ведение и учет первичной документации. Отражение в учете операций с ТМЦ. Ведение кассовых книг, авансовые отчеты. Учет услуг, поступления и... Знание правил оформления первичной документации. Уверенный пользователь ПК (1С 8.3; Microsoft Office, Internet, электронная почта). Трудолюбие, умение работать..."
Повар,https://belgorod.hh.ru/vacancy/34000087?query=1c," МАГНИТ, Розничная сеть",Изготовление продукции согласно плану-меню и графику выпуска готовой продукции. Подготовка сырья для обжаривания на гриле. Разделка туш и полутуш... Опыт работы в аналогичной должности приветствуется.
Бухгалтер-калькулятор,https://belgorod.hh.ru/vacancy/34332371?query=1c,ИП Шулепова Инесса Анатольевна,"Ведение первичного учета сырья в ресторане. Внесение карт ТХ. Внесение инвентаризаций. Знание ПК, в частности программ Microsoft Office. Знание программ Storehause, Rkeeper, 1с."
Бухгалтер-кассир,https://belgorod.hh.ru/vacancy/34334927?query=1c,ООО Авто-Белогорье,"Ведение и учет кассовых операций. Обеспечение бесперебойной работы кассы и обеспечение сохранности денежных средств, находящихся в кассе. Инкассация.  Обязательно знание кассовой дисциплины или опыт аналогичной работы. Опыт работы с онлайн кассой. Знание 1 С: 8:2 или 8..."
Менеджер отдела продаж ЛКМ,https://belgorod.hh.ru/vacancy/32140325?query=1c, ОАУ Белгородское рекрутинговое агентство,Выполнять работы по изучению покупательского спроса и потребностей потребителей. На основе планов планировать индивидуальные объемы сбыта и индивидуальные целевые показатели... Высшее образование. Опыт работы в продажах от 3 х лет(производство). Знание специальных программ 1С.
Заместитель главного бухгалтера,https://belgorod.hh.ru/vacancy/34358283?query=1c,ООО Клиника сердца,"Ведение нескольких организаций на разных системах налогообложения. Организация ведения бухучета по всем видам операций. Организация работы по направлениям: ведение раздельных... Отличные знания 1С 8.3: Бухгалтерия, 1С Предприятие, 1С Зарплата и управление персоналом, 1С Розница; MS..."
Ведущий специалист по продажам услуг,https://belgorod.hh.ru/vacancy/34294881?query=1c,ООО Гарант Сервис 31,"Контроль за учетом и обработкой поступивших заявок. Проверка на добросовестность и подбор перевозчиков. Документооборот. Заключение новых договоров. Ответственность. Коммуникабельность. Аналитический склад ума. Стрессоустойчивость. Умение работать в команде. Уверенный пользователь ПК. Умение работать в программах: 1С, ИАС."
Операционная медицинская сестра,https://belgorod.hh.ru/vacancy/34357595?query=1c, ОГБУЗ Городская больница №2 г. Белгорода,"Осуществляет подготовку операционной, участников хирургической бригады, хирургических инструментов, белья, шовного и перевязочного материалов, аппаратуры к проведению операции. Обеспечивает инфекционную безопасность... Среднее профессиональное образование по специальности ""Лечебное дело"", ""Акушерское дело"", ""Сестринское дело"" и сертификат специалиста по специальности ""Операционное дело""."
Менеджер по развитию,https://belgorod.hh.ru/vacancy/34351873?query=1c,ООО Компания ДСТ,"Поиск и привлечение новых клиентов. Рабочие группы товаров: зеркальная плитка, зеркальная мозаика, изделия из стекла и зеркала. Реализация производимой компанией... Грамотная, хорошо поставленная речь. Активность, ответственность, умение общаться с людьми. Опытный пользователь ПК. Знание программы 1С приветствуется."
Руководитель подразделения,https://belgorod.hh.ru/vacancy/34295351?query=1c,ООО Гарант Сервис 31,"Оперативное управление деятельностью подразделения. Разработка и реализация стратегии развития отношений с контрагентами. Выполнение планов по продажам услуг. Ведение деловой переписки... Опыт работы на аналогичной должности. Уверенный пользователь ПК; умение работать в программах 1С и ИАС. Стрессоустойчивость, исполнительность, ответственность, готовность..."
Главный бухгалтер,https://belgorod.hh.ru/vacancy/34324526?query=1c,ООО Фабрика Социального Питания,"порядок оформления операций и организацию документооборота по участкам учета. - формы и порядок финансовых расчетов. - порядок приемки, оприходования, хранения и расходования... порядок и сроки составления бухгалтерских балансов и отчетности. Требования: Высшее (экономическое, бухгалтерское) образование. Опыт работы на руководящей должности не менее..."
Инженер ПТО,https://belgorod.hh.ru/vacancy/33490504?query=1c, ОАУ Белгородское рекрутинговое агентство,"Организация работы с Поставщиками материалов, организация документооборота с поставщиками. Оформление документооборота в системе 1С (заказать поставщику, заказ покупателя, накладной... Свободно и уверенно общаться с людьми. !Желание зарабатывать и приобретать ценный опыт. Уверенный пользователь ПК. Желательное знание 1С (не..."
Менеджер по работе с клиентами (без продаж),https://belgorod.hh.ru/vacancy/34299165?query=1c, ManpowerGroup,"Выполнение всего цикла работы с заказом клиента. Выставление счетов на оплату, оформление комплекта отгрузочных документов, ведение документации. Согласование логистики.  Уверенный пользователь MS Office (Exсel, Word, Outlook). Опыт работы в 1С. Умение работать в команде. Развитые навыки коммуникации. "
Менеджер-экономист,https://belgorod.hh.ru/vacancy/34321644?query=1c,ООО Наш фильтр,"Работа заключается в: - учет табеля рабочего времени. - ведение расходов по зарплате, составление отчета. - составление отчета по перемещению материалов. -  Высшее образование (экономическое). 2. Продвинутый пользователь ПК (MS Office, 1C). 3.С опытом работы в аналогичной должности предпочтительно. - "
Программист 1С,https://belgorod.hh.ru/vacancy/33292656?query=1c,ООО Нэти,"Разработка на платформе 1С 8.x по тех. заданию и без (онлайн-общение с консультантом по скайпу).  Иметь практический продуктивный опыт разработки на 1С 8.х от 2,5 лет и выше. Хорошие знания типовых объектов..."
Оператор call-центра,https://belgorod.hh.ru/vacancy/33322169?query=1c, Комфорт Сервис,"Исходящие звонки по клиентской базе компании(без поиска клиентов и активных продаж). Прием входящих( Информирование, консультирование). Вы будете информировать клиентскую... Стрессоустойчивость. Грамотная речь. Клиентоориентированность. Нацеленность на результат."
Региональный представитель,https://belgorod.hh.ru/vacancy/34341787?query=1c, Русклимат,"Развитие существующей клиентской базы, поиск новых клиентов. Контроль поставок и оплаты, контроль дебиторской задолженности. Выполнять установленные планы и цели, по... Навыки ведения переговоров, прямых продаж, анализа и планирования. Уверенный пользователь ПК (1С, Excel, Word.). Личные качества: Ориентированность на результат..."
Менеджер по продажам,https://belgorod.hh.ru/vacancy/34343665?query=1c, ТЕХНОРАМА,"Прямые продажи (b2b) оборудования и техники (Husqvarna, Bosch, Metabo, Makita, Jet, Champion, ADA, KARCHER, Грузоподъемного и сварочного оборудования... ...точку зрения‚ способность к обучению, инициативность, желание изучать новые продукты и технологии. Владение 1С, MS Office, Internet, эл. почта."
Врач-кардиолог,https://belgorod.hh.ru/vacancy/34350642?query=1c, ОАУ Белгородское рекрутинговое агентство,"Качественное оказание медицинской помощи. Образование высшее профессиональное, сертификат специалиста."
Кладовщик,https://belgorod.hh.ru/vacancy/34298197?query=1c," Мираторг, Агропромышленный холдинг",Приёмка ТМЦ. Оприходование и списание ТМЦ. Сборка заявок. Корректность остатков на складе. Среднее/ среднее специальное образование. Готовы рассмотреть кандидатов без опыта работы.
Специалист по работе с клиентами в отдел рекламы,https://belgorod.hh.ru/vacancy/34178177?query=1c, Комфорт Сервис,"Исходящие звонки по клиентской базе компании(без поиска клиентов и активных продаж). Прием входящих( Информирование, консультирование). Вы будете информировать клиентскую... Стрессоустойчивость. Грамотная речь и четкая дикция. Клиентоориентированность. Нацеленность на результат."
Начальник газовой заправочной станции в пгт. Чернянка,https://belgorod.hh.ru/vacancy/34320867?query=1c, Газпром газомоторное топливо,"Руководство производственно-хозяйственной деятельностью станции (АГНКС). Выполнение производственных заданий в соответствии с планами и графиками. Обеспечение бесперебойной и экономичной работы... ...менее 3 лет. Допускается отсутствие опыта работы в нефтегазовой сфере. Уверенный пользователь компьютером, желательно - опыт работы в программе 1С."
Региональный менеджер по оптовым продажам,https://belgorod.hh.ru/vacancy/34326971?query=1c,ООО ТД Гомельагрокомплект,"Сопровождение и консультирование клиентов(дилеров в регионах). Ведение клиентской базы. Помощь в подборе технологий. Выполнение плана продаж. Составление коммерческих предложений. Опыт работы в продажах не менее 2-х лет . Знание 1С предприятия. Опытный пользователь офисных программ (xl, word и..."
Главный бухгалтер,https://belgorod.hh.ru/vacancy/34095254?query=1c, ОАУ Белгородское рекрутинговое агентство,"Полное ведение управленческого финансового учёта, предоставление отчётов в налоговую, ЦБ РФ, контроль за ведением ФУДДС, проведение ревизии кассы.  Высшее образование. Специальность: Бухгалтерский учёт. Финансы и кредит. Предпочтителен опыт работы в сфере финансов; кредитования. Уверенный пользователь ПК. "
Бухгалтер-калькулятор,https://belgorod.hh.ru/vacancy/34315806?query=1c, Сахара не надо,"Знание форм и способов бухгалтерского контроля на всех этапах работы производства. Знание программ 1С, StoreHouse и R-Keeper на... Высшее образование в сфере технологии производства в общепите; бухгалтерского учета, экономики и финансов. Опыт работы в аналогичной должности не менее..."
Менеджер по продажам запасных частей,https://belgorod.hh.ru/vacancy/34317243?query=1c, Группа Компаний Ринг,"Работа с электронными каталогами. Ведение документооборота, проведение инвентаризации. Работа в программе 1С. Активная работа с клиентами автосалона.  Опыт работы менеджером по продажам запасных частей будет преимуществом. Ср.проф.,высшее образование. Общая техническая грамотность и знание устройства автомобиля. "
Кладовщик,https://belgorod.hh.ru/vacancy/34336531?query=1c,ООО Агроальянс-Логистик,"Прием, выдача, хранение , инвентаризация запасных частей и инструментов. Ведение складского учета в ""1С"". Среднее / высшее образование (желательно техническое). Уверенный пользователь ПК. Ответственность, аккуратность."
Бухгалтер,https://belgorod.hh.ru/vacancy/34076345?query=1c, Сеть салонов связи +7,"Опыт работы с с НДС. Ведение бухгалтерского учета на участках: ГСМ, основные средства, подотчетные лица. Контроль взаиморасчетов и проведение сверок... Знание бухгалтерского учета. Уверенный пользователь ПК (1С 8.2; Microsoft Office, Internet, электронная почта). Трудолюбие, умение работать в условиях..."
Администратор сайтов,https://belgorod.hh.ru/vacancy/34300906?query=1c, CSN,"Ведение контента сайтов и настройка CMS «1С-Битрикс». Тестирование функционала и внешнего вида сайтов. Обработка обращений клиентов по сопровождаемым... Вы упорный человек, который не может уснуть, пока не закончит начатую задачу, или который очень переживает, что получилось не так..."
Главный бухгалтер,https://belgorod.hh.ru/vacancy/34361333?query=1c,ООО Инфогарантсервис,"Работа в программе ""1С:Бухгалтерия 8.3"", ""Камин"". Ведение бухгалтерского/налогового/кадрового учета на нескольких сторонних предприятиях на разных... Знание программного обеспечения ""1С"", преимущественного ""1С:Бухгалтерия, ред. 8.3 (интерфейс ""Такси""). Приветствуется наличие сертификата ""1С:Профессионал..."
Менеджер по оптовым продажам,https://belgorod.hh.ru/vacancy/34310210?query=1c,ООО КАЙКОР-СПЕЦОДЕЖДА," Оптовые продажи спецодежды, бытовой химии, средств индивидуальной защиты. Знание 1С Предприятия Торговля и Склад приветствуется, уверенный пользователь ПК, Excel. "
Бухгалтер,https://belgorod.hh.ru/vacancy/34207902?query=1c, Мебель-Маркет,"Ведет учет сырья на счетах бухгалтерского учета при их поступлении, расходовании и движении. Осуществляет выверку расчетов с организациями по поставкам... Высшее образование, знание 1-С-8.2-УПП. Умение работать с большим потоком информации. Опыт работы в производстве обязателен."
Заместитель главного бухгалтера,https://belgorod.hh.ru/vacancy/34321550?query=1c, Keramix,Расчет и сдача налоговой отчетности. Составление баланса. Замещение главного бухгалтера в моменты его отсутствия. Опыт работы - более 3-х лет. Знание 1С.Бухгалтерия.8.3. Знание ЕНВД и ОСНО. Уверенный опыт сдачи налоговой отчетности. 
Бухгалтер по банковским операциям,https://belgorod.hh.ru/vacancy/34207834?query=1c, Мебель-Маркет,"Учет движения денежных средств в программе 1С: Бухгалтерия на всех активных счетах предприятия. Подготовка и отправка платежных поручений в... Высшее образование, знание 1С:8.3-УПП. Умение работать с большим потоком информации. Аккуратность, внимательность."
Начальник отдела складского хозяйства (Корочанский район),https://belgorod.hh.ru/vacancy/33811958?query=1c,"ООО Зеленая долина, ГК","Прием, хранение и отпуск ТМЦ на складе, их размещение с учетом наиболее рационального использования складских площадей, облегчения и ускорения поиска... ...аналогичной должности от 1 года. Владение персональным компьютером на уровне уверенного пользователя (MS Office-Excel, Outlook, 1С Бухгалтерия, УСХП)."
Главный бухгалтер,https://belgorod.hh.ru/vacancy/33533116?query=1c," Континент Фуд, ТД","Постановка и ведение налогового бухгалтерского, налогового и управленческого учета предприятия оптово-розничной торговли в программе 1-С с нуля ( ЕНВД... Опыт работы от 5-ти лет в должности главного бухгалтера. Опытный пользователь 1С 8. Знание всех участков бухгалтерского учета. "
Программист,https://belgorod.hh.ru/vacancy/34029601?query=1c, ОАУ Белгородское рекрутинговое агентство,"Разработка и поддержка интернет-гипермаркета в системе 1С-Битрикс. Будет плюсом понимание принципов работы платформы 1С-Битрикс. Знание API, компонентов, модулей 1С-Битрикс, опыт работы с Linux..."
Инженер-технолог,https://belgorod.hh.ru/vacancy/34309442?query=1c,АО Кондитерская фабрика БЕЛОГОРЬЕ,"Организация разработки и внедрения прогрессивных технологических процессов и режимов производства выпускаемой продукции. Контроль технологических процессов. Контроль качества сырья и продукции.  Знание технических требований к сырью. Опытный пользователь ПК. Ответственность, обучаемость, стрессоустойчивость, гибкость. Знание программы 1С-Бухгалтерия желательно."
Менеджер по продажам,https://belgorod.hh.ru/vacancy/34335783?query=1c, CSN,"Работать с теплыми и горячими клиентами (без холодных звонков). Много общаться с потенциальными клиентами по телефону и электронной почте.  Имеете опыт работы в сфере продаж для сегмента B2B? Любишь общаться, имеешь грамотную речь. Ответственный и внимательный к..."
Руководитель отдела SMM (г. Тамбов),https://belgorod.hh.ru/vacancy/34330164?query=1c, Demis Group,"Разработка и утверждение плана продвижения проектов в социальных сетях (SMM), составление стратегии, KPI и бюджета. Утверждение плановых показателей подразделения и... Опыт успешной работы в аналогичной должности от 2 лет, предполагающей полноценное самостоятельное руководство деятельностью отдела SMM. Положительные результаты деятельности на..."
Руководитель территориального подразделения,https://belgorod.hh.ru/vacancy/34271881?query=1c, JCat.ru,"Оперативное управление деятельностью подразделения. - Разработка и реализация стратегии развития отношений с контрагентами. - Выполнение планов по продажам услуг. - Ведение деловой переписки... Уверенный пользователь ПК; умение работать в программе 1С. Высокий уровень организаторских способностей, лидерские качества, активность, открытость. Профессиональное знание и..."
Аудитор,https://belgorod.hh.ru/vacancy/34270264?query=1c,"ООО Зеленая долина, ГК","Ежемесячное составление отчета по запасам предприятий производственной площадки. Мониторинг неликвидных запасов и проведение мероприятий по их снижению. Расчет нормативов оборачиваемости... Знание финансового анализа хозяйственной деятельности предприятия. Уверенное владение ПК (MS Word, MS Excel, PowerPoint,1C 8 бухгалтерия)."
Бухгалтер - аналитик 1С,https://belgorod.hh.ru/vacancy/34266334?query=1c, Информационные технологические системы (ООО ИТС),"...использованием программного обеспечения 1С. Должность ""Консультант по технологиям автоматизации"". Отдел внедрения и сопровождение программных продуктов 1С.  ...1С. Опыт ведения производственного учета в системах 1С. Опыт сдачи и корректировки регламентной отчетности в системах 1С. "
Старший ветеринарный врач,https://belgorod.hh.ru/vacancy/33293121?query=1c,АО фирма «Агрокомплекс» им. Н.И. Ткачева,"Повышение производственных показателей продуктивности и сохранности животных. Организация и контроль полноты, корректности и своевременности проведения противоэпизоотических, лечебно-профилактических и ветеринарно... ...работы в ветеринарии (КРС) от 2-х лет. Знание законодательства в области ветеринарии. Знание Microsoft Office (Word, Excel), 1С."
Товаровед,https://belgorod.hh.ru/vacancy/34255025?query=1c," «Почта России», Офис","Прием, контроль качества, количества и сроков реализации продукции. Проверка сопроводительной документации товаров. Контроль наличия товаров на складе. Участие в инвентаризации.  Владение компьютером, желательно умение работать в специализированных программах (1С, Excel и т.д.). Знание необходимой документации."
Экономист,https://belgorod.hh.ru/vacancy/33939370?query=1c,ООО Белдорстрой,"Анализ и планирование финансово-хозяйственной деятельности компании. Участие в разработке финансовой политики компании. Участие в разработке финансовых моделей.  Высшее образование (финансовое/экономическое). Знание «1С», справочно-правовых систем, глубокое знание Ехсеl. Знание бухгалтерского и налогового учета. "
Товаровед,https://belgorod.hh.ru/vacancy/34251270?query=1c," Светофор, Сеть магазинов низких цен","работа с поставщиками, формирование заявок. - приемка товаров. - оформление поступлений в программе. - участие в инвентаризационных мероприятиях. опыт работы от 1 года. - уверенное владение 1С. - внимательность и аккуратность. - готовность к большому объему работы."
Оператор ПК,https://belgorod.hh.ru/vacancy/34195752?query=1c,ИП Селезнев Сергей Васильевич,Оформление и обработка первичных документов. Ввод данных в 1С: Торговля и склад 8.3. Опыт работы в 1С. Внимательность. Усидчивость. Доброжелательность. Коммуникабельность.
Менеджер склада,https://belgorod.hh.ru/vacancy/33022364?query=1c,ООО Сириус,"Исполнение обязанностей заведующего склада во время его отсутствия. Ведение учета складских операций (программа 1 С). Обеспечение соблюдения правил оформления и... Знание 1С «Управление торговлей», (1С:8.2 или 1С:7). Опыт работы менеджером (заведующим склада, руководителем склада..."
Продавец - консультант,https://belgorod.hh.ru/vacancy/34287728?query=1c,ООО Марико,"Встречать покупателей и выявлять потребность. Консультирование покупателей по ассортименту. Рассказывать о бонусной программе и других информационных источниках компании.  Доброжелательность. Знание Excel, 1С будет преимуществом. Грамотная речь, активность, целеустремлённость. Опыт работы в продажах."
Оператор по сопровождению клиентов,https://belgorod.hh.ru/vacancy/33859691?query=1c, ГК МетизСнабГрупп,"Оформление документов для отгрузки товаров, выставление счетов, подготовка договоров. Прием звонков. Консультирование. Ведение готовой клиентской базы. Обработка заказов (1C... Активная жизненная позиция. Уверенный пользователь ПК, (Word, Excel, 1C). Высшее образование. Опыт работы в аналогичной должности не обязателен, но..."
Управляющий пунктами выдачи интернет заказов,https://belgorod.hh.ru/vacancy/34236858?query=1c, Lamoda,"Решение различных вопросов с покупателями/ поставщиками (интернет-магазинами, курьерскими службами). Работа в программе 1С: Торговля и склад, Microsoft Axapta. Опыт участия в startup проектах (как преимущество). Готовность к разъездной работе. Отличные организаторские способности и коммуникативные навыки. Активная жизненная позиция..."
"Супервайзер группы магазинов ""Магнит-Косметик""",https://belgorod.hh.ru/vacancy/34247014?query=1c," МАГНИТ, Розничная сеть","Управление группой розничных магазинов (8-10 объектов): выполнение планов продаж, снижение издержек. Контроль соблюдения технологий и стандартов компании, анализ эффективности... Высшее образование (приветствуются специализации: экономика, коммерция, товароведение, менеджмент). Опыт управления системой через подчиненных. Опыт работы в сфере парфюмерии и косметики. "
Региональный менеджер,https://belgorod.hh.ru/vacancy/34269612?query=1c, Эра Людей,Руководство управляющими салонов связи. Посещение вверенных салонов для мотивации сотрудников на выполнение планов продаж и контроль соблюдения корпоративных стандартов.  Знание и понимание основных методов влияния на продажи и на качество обслуживания розничной сети. Знание 1С и кассовой дисциплины.
Категорийный менеджер,https://belgorod.hh.ru/vacancy/34264873?query=1c,"ООО Восторг 76, офис в г. Воронеж","Поиск и анализ поставщиков, проведение переговоров, заключение договоров. Формирование ассортиментной матрицы. Анализ конкурентной среды (цены, ассортимент), анализ потенциала и проработка... ...принимать самостоятельные решения, работать на результат, творческий подход к работе, высокая работоспособность. Уверенный пользователь ПК, MS Office, 1С 8."
Территориальный менеджер по развитию оптовых продаж,https://belgorod.hh.ru/vacancy/34253622?query=1c, Аскон,"Оптовые продажи ассортиментного портфеля компании. Активное привлечение новых клиентов, развитие клиентской базы. Управление и развитие взаимоотношений с корпоративными клиентами.  Успешный опыт работы в оптовых продажах желателен. Опыт проведения переговоров. Знание 1С: Торговля/ Склад. Уверенный пользователь ПК, работа в..."
Менеджер по управлению розничной сети,https://belgorod.hh.ru/vacancy/34207816?query=1c, ПРОДУКТЫ ЕРМОЛИНО,"Организация, контроль и координация работы розничной сети, направленная на увеличение объема продаж. Управление процессом продаж. Набор, обучение, аттестация, постановка задач... Успешный опыт поиска, подбора, обучения персонала и управления им. Высшее образование. Уверенный пользователь ПК, опыт работы в 1С."
Специалист по кадровому делопроизводству,https://belgorod.hh.ru/vacancy/34237185?query=1c," МАГНИТ, Розничная сеть",Ведение кадровой документации на бумажных носителях и в 1С (в полном объеме). Заключение трудовых договоров. Проведение кадровых перемещений.  Образование высшее. Знание ТК РФ. Знание 1С ЗУП. Опыт работы от 1 года. Опытный пользователь ПК.
Операционный директор,https://belgorod.hh.ru/vacancy/34218362?query=1c, ПРОДУКТЫ ЕРМОЛИНО,"Организация, контроль и координация работы всей розничной сети во вверенных городах (торговые точки, склады, офисы). Контроль управленческого и бухгалтерского учета.  ...документооборотом и финансово-хозяйственной деятельностью розничной торговой сети с правовой формой ООО. Опытный пользователь ПК, знание программ 1 С Предприятие."
Ведущий специалист по компенсациям и льготам,https://belgorod.hh.ru/vacancy/34269745?query=1c,"ООО Зеленая долина, ГК","Разработка систем мотивации по подразделениям. Выстраивание аналитики ФОТ по группе компаний. Унификация систем оплаты труда по группе компаний и разработка... Excel- профессиональный пользователь (знание VBA желательно). Знание 1C 8: УСХП (желательно). Знание методик оценки должностей, грейдирования, формирование бонусных программ..."
Системный администратор (программист),https://belgorod.hh.ru/vacancy/34260325?query=1c,ООО АТМ,"интеграция CRM с внешними сервисами (сайты, 1С ,телефония , социальные сети и др). - обучение работе в CRM, наставничество, сопровождение. -  Опыт работы от 3-х лет. Высшее образование. Наличие практического опыта в CRM cистемах обязательно!"
